lat,lon,name,admin1,admin2,cc
32.5625906,52.4355327,151,50,4,
32.8276538,51.7757315,152,51,4,
32.7776241,51.649011,153,51,4,
32.8015531,51.6640173,154,51,4,
32.803716,51.69628,155,51,4,
32.8536719,51.6563384,156,51,4,
33.04060635,51.78471769,157,51,4,
32.9055468,51.809343,158,51,4,
-1,-1,159,52,4,
-1,-1,160,52,4,
32.72238845,51.14868019,161,53,4,
-1,-1,162,53,4,
-1,-1,163,53,4,
32.7743148,50.62360838,164,54,4,
32.836839,50.5717108,165,54,4,
32.6514707,51.4843943,166,55,4,
32.6797333,51.5785296,167,55,4,
32.61464195,51.55670166,168,55,4,
32.6391832,51.5004056,169,55,4,
33.22692,50.3146044,170,56,4,
34.0422837,54.4150165,171,57,4,
33.7818924,55.0747871,172,57,4,
33.844903,54.9470758,173,57,4,
31.9354391,51.6533424,174,58,4,
31.9370311,51.7543282,175,58,4,
31.1971774,51.7245141,176,59,4,
31.4136588,51.5708254,177,59,4,
31.067191,51.5934004,178,59,4,
31.5280386,51.3237006,179,59,4,
32.8608273,51.5406631,180,60,4,
32.8678119,51.5981358,181,60,4,
-1,-1,182,60,4,
33.5365074,50.6739849,183,60,4,
33.4522614,51.1719845,184,60,4,
33.4158478,51.1820934,185,60,4,
32.0116032,51.8651719,186,61,4,
31.9467152,51.8714747,187,61,4,
32.9852558,50.4128266,188,62,4,
33.0178599,50.4893488,189,62,4,
-1,-1,190,63,4,
-1,-1,191,63,4,
32.5580254,51.5731114,192,64,4,
-1,-1,193,64,4,
32.5121844,51.5337279,194,64,4,
32.468331,51.5595264,195,64,4,
32.6018472,51.497766,196,64,4,
32.5576772,51.5079153,197,64,4,
32.577126,51.4539164,198,64,4,
-1,-1,199,64,4,
33.7827938,51.2252128,200,65,4,
33.5908206,51.212541,201,65,4,
33.753718,51.4325807,202,65,4,
33.9873888,51.4427935,203,65,4,
-1,-1,204,65,4,
-1,-1,205,65,4,
33.970466,51.1457545,206,65,4,
33.456488,50.2883303,207,66,4,
33.5130447,50.4754975,208,66,4,
33.4755802,50.3554565,209,66,4,
32.3762181,51.1890059,210,67,4,
32.3837155,51.2325317,211,67,4,
32.3333972,51.1898097,212,67,4,
32.393093,51.338919,213,67,4,
32.479612,51.3954197,214,67,4,
32.3887062,51.3737142,215,67,4,
32.3783604,51.3148844,216,67,4,
32.4834868,51.4173278,217,67,4,
32.357052,51.378721,218,67,4,
32.3805576,51.5116857,219,68,4,
32.3866108,51.56969299,220,68,4,
32.2661882,51.5639295,221,68,4,
32.3460971,51.4473626,222,68,4,
32.3424135,51.5046633,223,68,4,
32.1968552,51.5007466,224,68,4,
33.3104146,53.6981497,225,69,4,
32.8398145,53.1410521,226,69,4,
32.8610688,53.085985,227,69,4,
32.5566297,51.3714526,228,70,4,
33.1015294,50.9668778,229,70,4,
